event_id,start_year,end_year,date_display,era,event_name,event_kind,region_culture,location,peoples_factions,named_figures,historical_summary,possible_gameplay_hooks,likely_household_effects,severity_1_to_5,date_precision,canon_status,source_url_1,source_url_2,research_notes,event_category,game_scope,affected_systems,implementation_priority,research_confidence,research_pass
GENS-HIST-0001,-133,-133,133 BC,Late Republic,Fall of Numantia,War / Siege,Iberian,"Numantia, Hispania",Rome; Celtiberians,Scipio Aemilianus,The long Numantine War ended with Numantia's fall in 133 BC.,Veteran settlement; slave influx; confiscated land; Iberian resistance memory.,Military recruitment; land grants; local hostility; trade disruption,4,range_endpoint,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/04/eusi.html,,Conflict & Security,Local / Regional,Economy & Finance; Military & Security; Settlement & Demographics; Construction & Estates,High,High,repo
GENS-HIST-0002,-133,-133,133 BC,Late Republic,Tiberius Gracchus's tribunate and land reform,Politics / Law,Roman,Rome,Popularis reformers; Senate,Tiberius Gracchus,Tiberius Gracchus pursued agrarian redistribution and was killed amid political violence.,Land redistribution chain; patron-client polarization; Senate/popularis alignment; urban unrest.,Land values; tenant displacement; political loyalty; dignitas risk,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Politics & Government,Imperial / Urban,Politics & Patronage; Legal & Court; Settlement & Demographics; Construction & Estates,Critical,High,repo
GENS-HIST-0003,-129,-129,129 BC,Late Republic,Province of Asia organized,Administration / Provincial,Greek East / Anatolian,Western Anatolia,Rome; former Attalid territories,,Rome formalized provincial administration in territories inherited from Pergamon after Attalus III's bequest.,New governor; tax-farming; Roman legal jurisdiction; elite realignment.,Tax burden; contract opportunities; provincial patronage,3,approximate,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/waa.html,,,Politics & Government,Regional,Politics & Patronage; Economy & Finance; Legal & Court; Travel & Trade Routes,Medium,Medium,v1
GENS-HIST-0004,-125,-121,125–121 BC,Late Republic,Roman conquest of Gallia Narbonensis,War / Expansion,Gallic,Southern Gaul,Rome; Arverni; Allobroges,Gnaeus Domitius Ahenobarbus; Quintus Fabius Maximus,Rome secured a permanent transalpine corridor linking Italy with Hispania.,New roads/colonies; veteran settlement; trade corridor; local resistance.,Travel speed; trade access; land speculation; frontier risk,4,range,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,High,High,v1
GENS-HIST-0005,-123,-122,123–122 BC,Late Republic,Gaius Gracchus establishes subsidized grain sales,Economy / Grain Law,Roman,Rome,Roman citizens; state grain administration,Gaius Gracchus,Gaius Gracchus's grain legislation created regular state sales of grain to citizens at a fixed subsidized price.,Household grain entitlement; market-vs-state purchase choice; warehouse demand; political support for reform.,Food prices; household expenses; public order; political loyalty,4,range,research_addition,https://www.cambridge.org/core/journals/journal-of-roman-studies/article/abs/background-to-the-grain-law-of-gaius-gracchus/2EE57E014B5BA33F8462DEEA98962EB5,,,Law & Legal Status,Imperial / Urban,Politics & Patronage; Economy & Finance; Legal & Court; Military & Security; Travel & Trade Routes,High,High,v3
GENS-HIST-0006,-122,-122,122 BC,Late Republic,Junonia colony project established on the site of Carthage,Colony / Political Reform,North African / Roman,Carthage,Gracchan colonists; Roman state; local African population,Gaius Gracchus,"Gaius Gracchus's colonial program attempted to establish the Roman colony of Junonia on the territory of destroyed Carthage, a politically explosive precedent for overseas citizen settlement.",Household offered colonial allotment; migration decision; land survey dispute; opponents challenge legality.,Land; migration; political loyalty; colonial status,4,exact,research_addition,https://www.cambridge.org/core/books/abs/cambridge-ancient-history/roman-africa-augustus-to-vespasian/B0908B326025BA8FA087BA34BF4513B7,,,Politics & Government,Regional,Politics & Patronage; Legal & Court; Settlement & Demographics; Construction & Estates,High,High,v5
GENS-HIST-0007,-121,-121,121 BC,Late Republic,Death of Gaius Gracchus and collapse of reform program,Politics / Civil Violence,Roman,Rome,Popularis reformers; senatorial conservatives,Gaius Gracchus,Gaius Gracchus's reform movement ended in armed confrontation and his death.,Political purge; memory/faction event; client network fracture.,Dignitas shifts; confiscations; legal danger,5,exact,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Imperial / Urban,Politics & Patronage; Legal & Court,Critical,High,repo
GENS-HIST-0008,-118,-118,118 BC,Late Republic,Narbo Martius founded,Settlement / Infrastructure,Gallic,Narbonne,Roman colonists; local Gauls,,"Rome founded Narbo Martius, a major colony and commercial node in southern Gaul.",Colonist arrival; land market; road/trade node development.,Property values; migration; commerce,3,exact,research_addition,https://82nd-and-fifth.metmuseum.org/toah/ht/05/euw.html,,,Infrastructure & Settlement,Regional,Economy & Finance; Legal & Court; Settlement & Demographics; Travel & Trade Routes; Construction & Estates,Medium,High,v1
GENS-HIST-0009,-113,-101,113–101 BC,Late Republic,Cimbrian War,War / Migration,Germanic / Gallic,"Alpine, Gallic and Italian frontiers",Rome; Cimbri; Teutones; Ambrones,Gaius Marius,Large migrating groups defeated multiple Roman armies before Marius's victories ended the threat.,Refugees; levy surges; frontier panic; military reform pressure.,Recruitment; food prices; security; prestige,5,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,,Conflict & Security,Regional,Economy & Finance; Military & Security; Settlement & Demographics,Critical,High,repo
GENS-HIST-0010,-111,-111,111 BC,Late Republic,Lex Agraria regulates and privatizes public land,Law / Land Reform,Roman / Mediterranean,"Italy, Africa and Greek territories",Roman state; possessors of ager publicus; settlers,,"The agrarian law of 111 BC addressed the legal status, distribution, and privatization of public land across several Roman territories.",Title confirmation; boundary dispute; conversion of public holding to private property; survey appeal.,Land ownership; rents; taxation; inheritance; legal disputes,4,exact,research_addition,https://academic.oup.com/edited-volume/61673/chapter-abstract/550530969,https://avalon.law.yale.edu/ancient/agrarian_law.asp,,Law & Legal Status,Regional,Economy & Finance; Legal & Court; Religion; Settlement & Demographics; Construction & Estates,High,High,v3
GENS-HIST-0011,-111,-105,111–105 BC,Late Republic,Jugurthine War,War,Numidian / North African,Numidia,Rome; Numidia,Jugurtha; Gaius Marius; Sulla,Rome fought Jugurtha of Numidia in a war exposing corruption and generating major political careers.,African grain/trade shock; military contracts; political scandal.,Trade; recruitment; patronage; corruption events,4,range,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,https://82nd-and-fifth.metmuseum.org/toah/ht/05/afw.html,,Conflict & Security,Regional,Politics & Patronage; Economy & Finance; Military & Security,High,High,repo
GENS-HIST-0012,-107,-107,c. 107 BC,Late Republic,Marian military reforms and recruitment shift,Military / Administration,Roman,Rome / army-wide,Roman army,Gaius Marius,Traditionally associated with a shift toward broader recruitment and a more professionalized army.,Veteran dependency; long-service soldiers; equipment contracts.,Recruitment pool; state demand; veteran clients,4,approximate,repo_authored,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-events-historical-timeline-content.md,,Use careful wording: modern scholarship debates the idea of a single 'Marian reform' package.,Politics & Government,Imperial / Urban,Economy & Finance; Military & Security,High,Medium,repo
