slug,name,canonical_family,entity_type,parent_slug,parent_resolution,parent_or_related,relationship_to_parent,presentation_level,adoption_scope,religious_relation_class,theology_model,integration_model,organization_scale,core_tenets,flavor_tags,mechanic_flags,implementation_mode,implementation_readiness,gens_priority,start_year,start_label,end_year,end_label,emergence_band,active_133_bc,active_ad_1,active_ad_235,active_ad_395,active_ad_476,active_ad_565,origin_region,core_regions_during_game,cultures_peoples,key_deities_or_figures,holy_sites_or_centers,authority_model,exclusivity,historical_confidence,attestation_class,historical_label_caution,classification,ck3_role,repo_status,catalog_scope,gameplay_hooks,historical_notes,source_repo,source_history_1,source_history_2,final_pass_status,final_pass_note
cappadocian-anatolian-religion,Cappadocian / Anatolian Religion,Anatolian,Regional branch,,No single parent resolved,Anatolian local cults + Hellenic/Iranian influence,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Syncretic; Lunar,Syncretism,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,450,Romanized/Christianized gradually,Pre-game / ancient,Y,Y,Y,Y,N,N,Cappadocia / Anatolia,Central Anatolia,Cappadocians and Anatolian peoples,Mên; local gods,Sanctuary of Mên and local temples,Local priesthoods,Additive,High,Well attested,,Ethnic / regional polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Moon cult, Anatolian identity, mixed Greek-Iranian contacts",Repo uses Mên as a specific anchor.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Men_(deity),Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-m-n,Cult of Mên,Anatolian,Cult / devotion,cappadocian-anatolian-religion,Normalized alias match: Cappadocian / Anatolian Religion,Cappadocian / Anatolian Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Lunar; Syncretic; Local-Cult,Syncretism; Pilgrimage,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Pre-Roman Anatolian cult; pre-133 BC,400,Declines with Christianization of Anatolia,Pre-game / ancient,Y,Y,Y,Y,N,N,Anatolia,"Phrygia, Pisidia, Cappadocia and neighboring regions",Anatolian and Hellenized communities,"Mên, Anatolian moon god",Major sanctuaries of Mên in Anatolia,Local temple priesthoods,Additive,High,Well attested,,Major local deity cult,Local cult,New CK3-style expansion,Cult / devotion layer,"Moon cult, local pilgrimage, Anatolian identity, syncretism",The repo already uses Mên as the anchor deity for Cappadocian/Anatolian religion; a separate cult row makes the hierarchy more CK3-like.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Men_(deity),Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-sabazios,Cult of Sabazios,Anatolian,Mystery cult,phrygian-religion,Normalized alias match: Phrygian Religion,Thracian/Phrygian religion,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic; Initiatory,Initiatory; Syncretic; Ecstatic,Initiation; Syncretism,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Ancient Anatolian/Thracian roots; pre-133 BC,400,Declines with Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Thrace / Phrygia,Mediterranean cities under Rome,Mixed urban devotees,Sabazios,Distributed urban cult sites,Private cult associations,Additive,Medium–High,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Mystery/personal cult,Imported cult,New CK3-style expansion,Cult / devotion layer,"Foreign-cult adoption, Thracian/Anatolian links",Well-suited to syncretism mechanics.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://en.wikipedia.org/wiki/Sabazios,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
phrygian-religion,Phrygian Religion,Anatolian,Regional branch,,No single parent resolved,Anatolian local cults,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Syncretic; Mountain-Cult,Syncretism,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,400,Absorbed into Greco-Roman and Christian milieus,Pre-game / ancient,Y,Y,Y,Y,N,N,Phrygia,Central/western Anatolia,Phrygians,"Cybele/Matar, Sabazios and local gods",Pessinus and Phrygian sanctuaries,Local priesthoods,Additive,High,Well attested,,Ethnic / regional polytheism,Base faith,New CK3-style expansion,Religion / branch,Source tradition for Cybele and Sabazios; Anatolian cult politics,Separate base tradition helps explain cult exports to Rome.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-cybele-magna-mater-and-attis,Cult of Cybele / Magna Mater and Attis,Anatolian,Mystery cult,phrygian-religion,Normalized alias match: Phrygian Religion,Phrygian Religion,Cult or devotion within/alongside parent,Mystery Membership,Individual initiatory membership,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored; Initiatory,Initiatory; State-Sponsored; Ecstatic; Syncretic,Priesthood; Sacred calendar; Initiation; Syncretism,Overlay system,Ready for content design,Tier 2 — Major regional,-204,Officially imported to Rome in 204 BC,400,Declines under Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Phrygia / Pessinus,Rome and empire-wide cities,Romans and Anatolian devotees,"Cybele (Magna Mater), Attis",Pessinus; Palatine temple,Specialized priesthoods; Roman civic oversight,Additive,High,Well attested,,Mystery/state cult,Mystery cult / imported state cult,Named cult in existing catalog,Cult / devotion layer,"State import, initiation, festival controversy, Anatolian ties",Combines official Roman status with foreign/mystery features.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://www.worldhistory.org/Mystery_Cults/,https://www.worldhistory.org/Roman_Religion/,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-allat,Cult of Allat,Arabian,Cult / devotion,north-arabian-polytheism,Normalized alias match: North Arabian Polytheism,North Arabian Polytheism + Palmyrene Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; Martial-Coded,Syncretic; Martial-Coded; Caravan; Local-Cult,Syncretism; Military affinity; Commerce/travel,Overlay system,Ready for content design,Tier 2 — Major regional,,Pre-133 BC Arabian cult; strongly attested in Roman-period Syria and Arabia,500,Persists in Arabia beyond much of the Roman provincial cult landscape,Pre-game / ancient,Y,Y,Y,Y,Y,N,Arabia / Syrian desert,"North Arabia, Palmyra, Nabataea and desert caravan networks",Arabian and Palmyrene communities,Allat; sometimes represented with Athena-like imagery at Palmyra,Temple of Allat at Palmyra and Arabian sanctuaries,Local sanctuary and tribal/civic cults,Additive / syncretic,High,Well attested,,Arabian goddess cult with Palmyrene/Nabataean expressions,Major transregional cult,Final-pass expansion,Cult / devotion layer,Caravan travel; desert identity; warrior goddess; Palmyrene-Arab syncretism,Allat is important enough across Arabian and Syrian desert contexts to deserve a separate overlay rather than remaining inside generic Arabian religion.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://archeologie.culture.gouv.fr/palmyre/en/gods-palmyra,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,Added in finalized pass,Final bounded gap-fill added after repo and historical cross-check.
cult-of-dushara,Cult of Dushara,Arabian,Cult / devotion,nabataean-religion,Normalized alias match: Nabataean Religion,Nabataean Religion,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic; State-Sponsored,Syncretic; Aniconic-elements; Caravan; State-Sponsored (locally),Priesthood; Syncretism; Commerce/travel,Overlay system,Ready for content design,Tier 2 — Major regional,,Pre-Roman Nabataean principal deity,400,Persists under Roman Arabia before late antique Christianization,Pre-game / ancient,Y,Y,Y,Y,N,N,Nabataea,"Petra, Hauran, northern Arabia",Nabataeans and caravan communities,Dushara / Dusares,Petra and Nabataean sanctuaries,Temple priesthood and civic/royal patronage,Additive,High,Well attested,,Principal deity cult,Major local cult,Caravan prosperity; city patronage; local temple; Roman syncretism,Cult / devotion layer,The main Nabataean divine cult deserves its own devotion row rather than living only inside the base-faith text.,https://www.metmuseum.org/fr/essays/nabataean-kingdom-and-petra,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
cult-of-al-uzza,Cult of al-'Uzza,Arabian,Cult / devotion,nabataean-religion,Normalized alias match: Nabataean Religion,Nabataean Religion + wider Arabian polytheism,Cult or devotion within/alongside parent,Cult Overlay,Personal or household additive devotion,Additive-compatible,Polytheist / plural cult system,Additive / syncretic,Local / regional cult institution,Syncretic,Syncretic; Local-Cult; Fertility/Power-coded,Syncretism,Overlay system,Ready for event/light content,Tier 3 — Enrichment,,Pre-Roman Arabian cult,,Survives beyond AD 565 in Arabia,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Arabia / Nabataea,"Nabataea, northern and western Arabia",Nabataeans and Arabian communities,al-'Uzza,Petra region and Arabian sanctuaries,Local sanctuary cults,Additive,Medium–High,Moderately attested,,Major Arabian goddess cult,Local cult,Arabian local devotion; syncretism with Aphrodite/Venus; caravan-world events,Cult / devotion layer,At Petra she is often discussed as a likely consort/paired goddess in the Nabataean pantheon; local identifications vary.,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_A_Picture_Album.pdf,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-cultures-of-the-known-world-design.md,https://resources.metmuseum.org/resources/metpublications/pdf/The_World_between_Empires_Art_and_Identity_in_the_Ancient_Middle_East.pdf,,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
nabataean-religion,Nabataean Religion,Arabian,Religion / base tradition,,Base/contact layer: no parent required,North Arabian / Semitic polytheism,Base / independent / unresolved relationship,Full Faith,Household/community primary religion,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,State / civic institution,Syncretic,Syncretic; Civic,Syncretism; Commerce/travel; Pilgrimage; Local civic standing,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,400,Romanized/Christianized after annexation and late antiquity,Pre-game / ancient,Y,Y,Y,Y,N,N,Petra / Nabataea,"Nabataea, Arabia Petraea",Nabataeans,"Dushara, al-‘Uzza, local deities",Petra; regional high places,Local/civic priesthoods,Additive,High,Well attested,,Ethnic / civic polytheism,Base faith,Core named faith in existing catalog,Religion / branch,"Caravan trade, Petra pilgrimage, Roman annexation",Dushara is the core attested deity anchor.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Nabataean_religion,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
north-arabian-polytheism,North Arabian Polytheism,Arabian,Regional branch,,No single parent resolved,Arabian regional religions,Base / independent / unresolved relationship,Regional Faith,Household/community primary religion in supported regions,Broadly compatible,Polytheist / plural cult system,Additive / syncretic,Diffuse / decentralized,Syncretic,Syncretic; Tribal; Pilgrimage,Syncretism; Commerce/travel; Pilgrimage,Primary religion/community state,Ready for content design,Tier 2 — Major regional,,Ancient; pre-133 BC,,Persists beyond AD 565; Islam begins later than game window,Pre-game / ancient,Y,Y,Y,Y,Y,Y,Arabian Peninsula / Syrian desert,"Arabia, desert caravan routes",Arab tribes,"Regional gods including al-Lat, al-‘Uzza, Manat in later attestations",Regional sanctuaries and caravan holy places,Tribal/local custodians,Communal,Medium,Moderately attested,Surviving evidence is limited or reconstruction is debated.,Ethnic / regional polytheism,Base faith,New CK3-style expansion,Religion / branch,"Arab client kingdoms, caravan routes, border diplomacy",Useful umbrella for groups outside the more specific Nabataean/Palmyrene rows.,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://github.com/rdnovotni/gens/blob/main/docs/design/gens-religions-of-the-known-world-design.md,https://en.wikipedia.org/wiki/Religion_in_pre-Islamic_Arabia,Polished / normalized,"Family, hierarchy, presentation scope, relationship model, readiness and start-date gating normalized."
